hour,RN1,RN11,RN23,RP3323
00:00,32.82,28.51,29.59,36.57
01:00,34.3,31.99,31.73,38.33
02:00,36.86,33.84,34.71,43.47
03:00,39.54,35.03,34.13,44.85
04:00,40.98,35.61,35.58,48.47
05:00,37.85,34.43,35.07,46.9
06:00,34.88,33.83,31.49,41.67
07:00,33.0,31.73,29.6,38.67
08:00,29.55,27.48,26.71,36.4
09:00,27.4,25.4,23.84,33.83
10:00,25.0,22.95,20.46,29.12
11:00,22.02,21.01,16.84,23.53
12:00,20.85,20.59,15.55,21.85
13:00,20.96,21.64,16.13,20.78
14:00,21.66,21.72,17.15,21.1
15:00,22.68,23.09,19.35,22.47
16:00,23.61,23.13,21.02,24.98
17:00,23.46,23.47,21.41,24.27
18:00,21.44,21.99,19.41,20.77
19:00,21.95,22.02,18.8,19.8
20:00,21.05,21.75,18.39,20.17
21:00,21.85,22.57,18.87,21.22
22:00,24.84,24.77,23.01,26.05
23:00,28.05,26.05,26.44,31.65
